STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
79,2019-02,994.8,97,116,223,1.1958762886597938,1.9224137931034482,4.460986547085201
79,2019-03,895.4,93,106,205,1.1397849462365592,1.9339622641509433,4.367804878048781
79,2019-04,1007.3,102,117,224,1.1470588235294117,1.9145299145299146,4.496875
79,2019-05,927.75,101,111,208,1.099009900990099,1.8738738738738738,4.460336538461538
79,2019-06,862.8000000000001,87,99,189,1.1379310344827587,1.9090909090909092,4.565079365079366
80,2018-07,1029.9,104,124,237,1.1923076923076923,1.9112903225806452,4.345569620253165
80,2018-08,952.8,103,120,217,1.1650485436893203,1.8083333333333333,4.390783410138249
80,2018-09,1050.9,106,125,239,1.179245283018868,1.912,4.397071129707113
80,2018-10,1100.0,119,132,247,1.1092436974789917,1.871212121212121,4.4534412955465585
80,2018-11,851.6,82,96,188,1.170731707317073,1.9583333333333333,4.529787234042553
80,2018-12,934.4,102,111,210,1.088235294117647,1.8918918918918919,4.449523809523809
80,2019-01,1033.8,113,126,235,1.1150442477876106,1.8650793650793651,4.399148936170213
80,2019-02,924.6,94,109,205,1.1595744680851063,1.8807339449541285,4.510243902439025
80,2019-03,978.3,107,117,218,1.0934579439252337,1.8632478632478633,4.4876146788990825
80,2019-04,953.9,96,113,213,1.1770833333333333,1.8849557522123894,4.478403755868545
80,2019-05,894.3000000000001,95,111,199,1.168421052631579,1.7927927927927927,4.493969849246231
80,2019-06,1052.4,116,127,243,1.0948275862068966,1.9133858267716535,4.330864197530865
81,2018-07,1235.9,117,143,283,1.2222222222222223,1.979020979020979,4.3671378091872795
81,2018-08,1073.3,110,132,245,1.2,1.856060606060606,4.380816326530612
81,2018-09,1357.6,129,152,302,1.178294573643411,1.986842105263158,4.495364238410596
81,2018-10,1014.6,104,117,231,1.125,1.9743589743589745,4.392207792207793
81,2018-11,1052.3,101,119,239,1.1782178217821782,2.008403361344538,4.402928870292887
81,2018-12,1360.0,127,156,312,1.2283464566929134,2.0,4.358974358974359
81,2019-01,1166.6,110,130,262,1.1818181818181819,2.0153846153846153,4.4526717557251905
81,2019-02,1151.9,108,127,253,1.1759259259259258,1.9921259842519685,4.5529644268774705
81,2019-03,1273.5,115,144,285,1.2521739130434784,1.9791666666666667,4.468421052631579
81,2019-04,1172.5,110,132,266,1.2,2.015151515151515,4.407894736842105
81,2019-05,1152.05,119,135,257,1.134453781512605,1.9037037037037037,4.482684824902724
81,2019-06,1351.7,122,151,305,1.2377049180327868,2.019867549668874,4.431803278688525
82,2018-07,348.5,46,50,97,1.0869565217391304,1.94,3.5927835051546393
82,2018-08,326.7,43,48,91,1.1162790697674418,1.8958333333333333,3.59010989010989
82,2018-09,332.1,44,46,91,1.0454545454545454,1.9782608695652173,3.64945054945055
82,2018-10,290.5,41,43,84,1.048780487804878,1.9534883720930232,3.4583333333333335
82,2018-11,326.5,49,51,100,1.0408163265306123,1.9607843137254901,3.265
82,2018-12,306.5,42,43,85,1.0238095238095237,1.9767441860465116,3.6058823529411765
82,2019-01,359.1,49,53,102,1.0816326530612246,1.9245283018867925,3.520588235294118
82,2019-02,276.5,44,44,82,1.0,1.8636363636363635,3.3719512195121952
82,2019-03,398.0,52,58,114,1.1153846153846154,1.9655172413793103,3.491228070175439
82,2019-04,323.0,51,51,100,1.0,1.9607843137254901,3.23
82,2019-05,414.5,52,56,106,1.0769230769230769,1.8928571428571428,3.910377358490566
82,2019-06,401.6,51,55,108,1.0784313725490196,1.9636363636363636,3.718518518518519
83,2018-07,792.4,95,115,234,1.2105263157894737,2.034782608695652,3.3863247863247863
83,2018-08,799.8,100,120,227,1.2,1.8916666666666666,3.5233480176211454
83,2018-09,826.4,88,114,228,1.2954545454545454,2.0,3.6245614035087717
83,2018-10,759.8,85,117,236,1.3764705882352941,2.017094017094017,3.2194915254237286
83,2018-11,802.4,93,109,226,1.1720430107526882,2.073394495412844,3.550442477876106
83,2018-12,912.0,108,136,274,1.2592592592592593,2.014705882352941,3.3284671532846715
